temperature,thread_id,iteration,map_filename,no_of_agents,no_of_goals,per_point_diff,score,per_point_score,coeff_per_point_diff
0,6,76,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.16234,0.0592939,15,
4,6,77,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.85959,0.0536173,15,
4,6,78,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.85959,0.0536173,15,
0,8,79,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.39672,0.0636885,15,
0,1,80,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.19864,0.0599745,15,
4,1,81,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.85959,0.0536173,15,
4,2,82,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.76134,0.0517751,15,
4,2,83,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.07337,0.0576256,15,
1,7,84,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.89423,0.0542668,15,
3,5,85,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.04838,0.0571572,15,
1,8,86,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.86825,0.0537797,15,
1,9,87,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.11885,0.0584785,15,
1,9,88,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.00099,0.0562685,15,
2,5,89,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.39539,0.0636636,15,
0,7,90,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.47347,0.0651275,15,
0,9,91,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.76134,0.0517751,15,
2,3,92,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.66567,0.0499813,15,
0,6,93,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.86869,0.053788,15,
2,8,94,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.04827,0.057155,15,
0,5,95,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.19396,0.0598868,15,
4,9,96,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.1463,0.0589931,15,
0,3,97,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.01079,0.0564523,15,
0,9,98,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.14906,0.0590448,15,
4,9,99,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.31815,0.0622154,15,
2,7,100,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.77442,0.0520203,15,
3,4,101,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.76134,0.0517751,15,
0,1,102,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.62394,0.0491989,15,
3,1,103,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.8609,0.0536419,15,
0,1,104,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.62394,0.0491989,15,
2,8,105,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.93983,0.0551219,15,
4,3,106,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.76134,0.0517751,15,
0,7,107,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.28041,0.0615077,15,
4,7,108,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.02186,0.0566599,15,
3,1,109,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.8609,0.0536419,15,
3,1,110,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.8609,0.0536419,15,
0,5,111,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.76134,0.0517751,15,
1,6,112,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.81527,0.0527864,15,
1,7,113,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.97437,0.0557694,15,
2,9,114,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.66567,0.0499813,15,
4,8,115,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.16639,0.0593699,15,
4,7,116,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.25838,0.0610947,15,
4,8,117,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.16639,0.0593699,15,
4,7,118,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.07213,0.0576024,15,
0,0,119,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.09911,0.0581084,15,
2,7,120,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.14662,0.0589991,15,
0,4,121,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.76134,0.0517751,15,
1,8,122,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.75257,0.0516107,15,
3,8,123,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.76134,0.0517751,15,
4,9,124,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.17087,0.0594539,15,
3,8,125,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.76134,0.0517751,15,
1,6,126,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.11169,0.0583441,15,
1,6,127,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.11169,0.0583441,15,
1,1,128,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.13074,0.0587014,15,
2,0,129,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.00226,0.0562924,15,
3,1,130,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.22404,0.0604507,15,
2,7,131,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.76134,0.0517751,15,
0,2,132,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.62394,0.0491989,15,
0,2,133,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.14617,0.0589908,15,
1,3,134,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.75257,0.0516107,15,
0,2,135,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.02962,0.0568055,15,
3,2,136,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.09909,0.0581079,15,
0,0,137,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.34846,0.0627836,15,
0,0,138,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.05983,0.0573719,15,
4,7,139,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.14952,0.0590536,15,
1,0,140,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,3.30921,0.0620477,15,
0,9,141,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.76134,0.0517751,15,
2,8,142,D:/TharinduM/procedural-motion/maps/4-roads-cross.osm,100,8,2.66567,0.0499813,15,
